filename,width,height,class,xmin,ymin,xmax,ymax
226.png,74,33,6,39,4,50,26
8360.png,108,48,6,33,3,58,38
8360.png,108,48,1,58,5,75,40
21429.png,257,105,5,111,26,136,83
21429.png,257,105,1,135,29,150,86
21429.png,257,105,2,147,23,172,80
16363.png,159,90,8,46,27,65,63
16363.png,159,90,3,89,26,105,62
217.png,123,61,2,50,12,73,49
4170.png,80,62,6,46,18,60,50
4170.png,80,62,4,58,14,73,46
7004.png,48,21,3,17,1,25,16
7004.png,48,21,1,23,1,29,16
26490.png,125,47,1,40,10,48,39
26490.png,125,47,4,50,8,61,37
26490.png,125,47,1,65,8,72,37
26490.png,125,47,7,76,9,86,38
4701.png,54,19,1,14,2,20,16
4701.png,54,19,7,20,1,28,15
4701.png,54,19,8,29,2,38,16
28163.png,124,61,8,44,9,66,36
28163.png,124,61,2,54,24,81,51
3841.png,65,26,5,22,6,30,21
3841.png,65,26,1,29,7,33,22
3841.png,65,26,7,34,5,41,20
17692.png,39,18,9,16,2,20,15
17692.png,39,18,10,21,3,26,16
785.png,155,66,2,50,11,67,48
785.png,155,66,3,69,15,86,52
785.png,155,66,3,90,19,106,56
15600.png,48,18,8,22,2,31,15
23249.png,73,27,1,26,4,29,21
4221.png,160,81,5,65,9,92,69
5850.png,55,19,3,15,1,22,15
5850.png,55,19,10,24,1,32,15
5850.png,55,19,8,33,1,42,15
25036.png,105,48,4,36,5,54,39
25036.png,105,48,10,55,9,69,43
29384.png,289,145,5,106,16,157,123
29384.png,289,145,1,162,15,192,122
22772.png,163,69,1,54,8,72,54
22772.png,163,69,3,76,11,107,57
26719.png,70,20,2,16,1,24,17
26719.png,70,20,5,26,1,36,17
26719.png,70,20,1,36,1,44,17
26719.png,70,20,10,45,1,55,17
26051.png,94,45,3,36,7,47,36
26051.png,94,45,1,48,5,56,34
17079.png,43,27,2,17,2,32,26
24679.png,124,60,1,41,8,61,59
24679.png,124,60,2,59,3,87,54
11251.png,134,68,7,56,22,70,54
11251.png,134,68,1,67,21,79,53
22590.png,43,17,2,14,1,22,17
22590.png,43,17,2,21,1,29,17
2642.png,162,75,1,66,20,78,55
2642.png,162,75,2,81,20,97,55
19838.png,125,55,1,45,6,56,41
19838.png,125,55,7,55,10,67,45
19838.png,125,55,10,65,9,81,44
33193.png,392,92,4,252,51,269,77
33193.png,392,92,6,263,51,283,77
32592.png,74,33,5,25,7,37,26
32592.png,74,33,8,35,7,46,26
418.png,112,52,5,42,6,57,39
418.png,112,52,6,59,6,72,39
10450.png,230,79,1,120,31,133,50
10450.png,230,79,1,134,29,143,48
10450.png,230,79,3,142,27,155,46
10450.png,230,79,3,153,26,165,45
14855.png,123,57,1,43,16,52,45
14855.png,123,57,2,52,16,63,45
14855.png,123,57,1,61,15,68,44
14855.png,123,57,3,67,14,79,43
7359.png,127,62,9,50,5,80,48
31764.png,90,35,1,29,6,36,29
31764.png,90,35,4,36,6,50,29
31764.png,90,35,9,49,7,64,30
12950.png,79,26,3,20,4,29,20
12950.png,79,26,4,30,5,39,21
12950.png,79,26,5,40,4,48,20
12950.png,79,26,5,51,3,60,19
13791.png,136,68,5,55,11,81,55
16368.png,77,32,3,23,1,37,25
16368.png,77,32,8,38,2,49,26
14290.png,59,28,4,19,3,28,23
18026.png,82,41,1,25,1,38,39
18026.png,82,41,10,38,1,56,39
22600.png,139,69,3,54,13,82,49
3525.png,54,20,4,16,2,28,17
3525.png,54,20,10,29,1,38,16
21200.png,127,59,2,44,16,61,43
21200.png,127,59,2,61,14,76,41
30747.png,324,145,5,115,24,163,116
30747.png,324,145,1,171,28,217,120
31986.png,208,82,9,66,33,92,66
31986.png,208,82,10,92,35,116,68
31986.png,208,82,9,117,35,140,68
9581.png,337,175,3,127,20,215,155
15177.png,81,40,2,28,6,37,34
15177.png,81,40,10,35,4,48,32
2724.png,252,106,7,82,44,119,90
2724.png,252,106,9,106,32,149,78
2724.png,252,106,3,135,16,175,62
5650.png,76,39,4,29,2,46,32
4087.png,110,50,4,32,4,57,45
4087.png,110,50,4,56,5,80,46
10494.png,93,47,4,35,11,57,44
22354.png,190,64,9,53,11,72,46
22354.png,190,64,1,78,10,88,45
22354.png,190,64,8,94,14,106,49
18673.png,405,179,1,146,35,192,144
18673.png,405,179,10,185,38,254,147
13796.png,105,50,7,40,8,53,42
13796.png,105,50,5,55,10,65,44
7482.png,70,31,8,23,5,37,26
7482.png,70,31,10,37,6,50,27
17933.png,76,34,2,32,10,39,27
19430.png,57,25,7,20,3,27,17
19430.png,57,25,10,26,4,32,18
14543.png,302,112,1,92,45,112,84
14543.png,302,112,4,111,33,131,72
14543.png,302,112,7,127,20,151,59
3771.png,52,25,3,18,1,26,22
3771.png,52,25,7,25,1,35,22
11726.png,192,99,2,54,62,86,108
11726.png,192,99,6,75,39,106,85
11726.png,192,99,2,94,14,125,60
18450.png,105,56,1,39,14,56,48
18450.png,105,56,9,46,9,66,43
31980.png,140,64,2,45,22,60,55
31980.png,140,64,1,61,13,73,46
31980.png,140,64,4,72,9,87,42
4657.png,69,26,1,22,5,29,21
4657.png,69,26,1,36,5,43,21
3842.png,53,24,2,20,3,30,19
24117.png,147,83,1,58,15,73,45
24117.png,147,83,9,69,15,89,45
28125.png,154,75,4,60,11,79,56
28125.png,154,75,5,79,17,94,62
4393.png,141,63,2,55,21,66,44
4393.png,141,63,3,66,21,76,44
4393.png,141,63,6,75,19,87,42
13902.png,118,57,2,38,5,62,49
13902.png,118,57,1,64,7,80,51
20775.png,165,77,1,55,21,67,54
20775.png,165,77,1,68,24,78,57
20775.png,165,77,7,79,23,97,56
22033.png,122,53,6,39,7,61,50
22033.png,122,53,5,62,7,83,50
13013.png,146,70,1,52,10,70,57
13013.png,146,70,7,69,11,90,58
4224.png,68,34,3,28,2,41,32
12757.png,144,61,5,43,4,72,53
12757.png,144,61,2,72,4,103,53
27061.png,119,57,6,44,11,62,46
27061.png,119,57,9,58,13,77,48
6547.png,156,69,4,51,10,83,61
6547.png,156,69,1,84,8,105,59
16763.png,147,56,2,59,16,70,41
16763.png,147,56,2,68,17,82,42
16763.png,147,56,10,80,15,93,40
16564.png,106,41,1,28,1,43,36
16564.png,106,41,3,38,2,59,37
16564.png,106,41,5,55,1,78,36
27893.png,153,62,6,48,6,72,52
27893.png,153,62,10,77,11,109,57
19312.png,264,96,1,79,17,99,55
19312.png,264,96,10,100,19,124,57
19312.png,264,96,6,128,19,150,57
19312.png,264,96,2,157,21,190,59
21660.png,56,24,2,17,1,27,21
21660.png,56,24,2,28,1,38,21
18011.png,225,109,1,67,7,106,101
18011.png,225,109,3,104,3,145,97
11102.png,79,31,2,23,4,39,26
11102.png,79,31,4,39,3,56,25
30274.png,82,48,1,35,3,54,42
30274.png,82,48,3,55,3,81,42
27310.png,100,49,1,39,9,50,41
27310.png,100,49,1,52,10,62,42
8347.png,158,63,1,49,12,60,40
8347.png,158,63,5,56,14,72,42
8347.png,158,63,9,68,17,81,45
26832.png,117,61,7,43,14,62,42
26832.png,117,61,5,61,13,75,41
2584.png,134,66,6,55,19,79,48
19431.png,176,76,4,54,7,92,71
19431.png,176,76,3,92,6,130,70
5556.png,101,49,3,36,11,53,46
5556.png,101,49,1,51,11,66,46
16553.png,139,61,2,50,10,73,50
16553.png,139,61,10,73,5,95,45
6239.png,65,28,3,23,1,32,24
6239.png,65,28,5,32,1,41,24
24027.png,117,49,3,35,6,61,42
24027.png,117,49,2,56,4,82,40
23133.png,75,35,1,25,5,33,32
23133.png,75,35,7,34,4,48,31
5198.png,237,68,4,85,18,98,53
5198.png,237,68,7,97,15,112,50
338.png,136,69,5,53,15,78,56
338.png,136,69,5,76,13,98,54
338.png,136,69,3,97,10,119,51
14937.png,339,164,2,123,53,155,106
14937.png,339,164,5,154,57,184,110
14937.png,339,164,2,180,53,213,106
31577.png,235,82,5,95,35,109,61
31577.png,235,82,6,109,37,124,63
31577.png,235,82,7,124,39,138,65
29275.png,58,26,3,20,5,30,20
29275.png,58,26,3,30,7,40,22
23057.png,229,100,6,87,25,117,81
23057.png,229,100,4,119,16,150,72
12308.png,76,31,1,22,2,27,25
12308.png,76,31,5,28,1,37,24
12308.png,76,31,1,37,4,43,27
12308.png,76,31,4,44,4,50,27
12996.png,145,62,7,72,23,84,41
12996.png,145,62,9,82,21,96,39
2308.png,205,85,4,59,17,99,67
2308.png,205,85,9,104,23,139,73
18623.png,140,71,6,59,16,79,55
9227.png,131,55,3,47,17,63,42
9227.png,131,55,3,61,14,79,39
9297.png,144,66,2,44,12,76,62
9297.png,144,66,3,68,3,100,53
29228.png,85,40,2,32,4,43,30
29228.png,85,40,6,43,6,54,32
23220.png,148,69,6,44,9,66,65
23220.png,148,69,4,73,8,91,64
23220.png,148,69,1,91,6,106,62
7818.png,93,47,2,33,6,49,44
7818.png,93,47,1,49,4,64,42
21821.png,77,34,1,22,1,37,29
21821.png,77,34,10,40,1,53,29
12646.png,75,34,3,30,6,37,28
12646.png,75,34,8,36,6,42,28
12646.png,75,34,3,41,6,48,28
18084.png,61,31,2,22,5,30,23
18084.png,61,31,1,30,6,36,24
15845.png,39,17,1,13,1,18,17
15845.png,39,17,5,18,1,28,17
14388.png,115,60,6,46,8,69,51
16623.png,218,98,2,74,13,110,78
16623.png,218,98,3,111,18,150,83
30677.png,159,72,1,56,8,69,42
30677.png,159,72,2,66,6,86,40
30677.png,159,72,10,84,6,102,40
10853.png,258,77,1,66,36,79,64
10853.png,258,77,8,78,27,97,55
10853.png,258,77,7,97,18,111,46
22395.png,180,90,1,64,30,75,79
22395.png,180,90,10,73,22,96,71
22395.png,180,90,8,95,14,115,63
27612.png,95,39,1,31,4,41,31
27612.png,95,39,8,39,5,52,32
27612.png,95,39,3,52,8,64,35
25148.png,89,41,2,31,4,45,36
25148.png,89,41,5,41,5,59,37
23263.png,65,42,4,1,8,14,33
23263.png,65,42,10,18,11,35,36
33030.png,98,47,9,31,2,68,43
26240.png,272,118,2,124,49,146,92
26240.png,272,118,2,145,46,170,89
14518.png,86,35,3,26,1,42,33
14518.png,86,35,3,41,1,61,33
17635.png,77,34,4,24,2,39,28
17635.png,77,34,8,38,3,52,29
23355.png,79,36,1,28,14,36,32
23355.png,79,36,2,34,13,44,31
23355.png,79,36,8,43,9,53,27
14611.png,255,117,3,106,69,126,98
14611.png,255,117,4,117,66,135,95
14611.png,255,117,7,127,59,149,88
23201.png,84,40,4,35,12,44,31
23201.png,84,40,5,44,9,51,28
33330.png,140,63,2,47,15,67,51
33330.png,140,63,4,66,16,87,52
4219.png,262,137,5,133,46,155,97
137.png,136,64,1,50,10,64,53
137.png,136,64,10,70,10,87,53
13308.png,84,39,1,23,6,39,37
13308.png,84,39,5,39,3,58,34
30132.png,109,52,5,38,14,55,40
30132.png,109,52,9,54,15,68,41
15419.png,199,88,6,63,7,100,74
15419.png,199,88,4,98,13,143,80
23570.png,85,38,1,26,4,33,31
23570.png,85,38,7,33,4,46,31
23570.png,85,38,8,47,4,58,31
10549.png,147,55,9,48,3,66,40
10549.png,147,55,1,71,9,80,46
10549.png,147,55,6,82,13,107,50
29425.png,84,43,2,32,10,48,37
1791.png,302,106,5,156,20,177,51
1791.png,302,106,5,175,21,192,52
1791.png,302,106,10,192,28,207,59
6092.png,67,35,4,24,4,42,31
25357.png,34,13,1,9,1,13,13
25357.png,34,13,2,13,1,24,13
27815.png,260,84,3,162,34,172,48
27815.png,260,84,7,172,32,180,46
27815.png,260,84,8,183,34,193,48
20742.png,234,107,5,101,32,118,80
20742.png,234,107,6,120,35,139,83
5692.png,30,12,2,8,1,15,12
5692.png,30,12,6,14,1,22,12
2218.png,159,84,2,7,1,59,76
2218.png,159,84,1,69,1,91,76
24658.png,98,43,5,36,13,44,35
24658.png,98,43,1,45,11,53,33
24658.png,98,43,9,54,10,62,32
33140.png,98,54,7,36,7,60,45
12037.png,59,28,1,21,2,28,23
12037.png,59,28,10,27,3,36,24
149.png,52,24,4,19,3,27,20
149.png,52,24,7,26,3,35,20
30158.png,183,72,1,78,18,93,55
30158.png,183,72,10,96,18,116,55
18314.png,227,102,2,74,10,113,88
18314.png,227,102,9,111,10,155,88
20573.png,149,70,8,52,12,73,51
20573.png,149,70,9,76,14,95,53
24955.png,98,35,5,30,5,46,26
24955.png,98,35,5,45,7,59,28
24955.png,98,35,4,57,11,68,32
7960.png,36,17,1,13,3,17,16
7960.png,36,17,4,17,3,23,16
2219.png,127,40,1,28,8,42,35
2219.png,127,40,1,87,8,100,35
33083.png,168,83,4,55,40,79,73
33083.png,168,83,6,74,24,94,57
33083.png,168,83,8,89,8,110,41
18155.png,106,48,1,45,10,54,33
3535.png,261,117,2,93,26,134,98
21680.png,128,68,6,49,4,83,61
14662.png,149,75,6,61,14,76,55
14662.png,149,75,9,75,17,91,58
7385.png,97,47,8,36,7,46,43
7385.png,97,47,1,46,6,59,42
7252.png,188,81,5,58,1,92,70
7252.png,188,81,10,94,8,134,77
14925.png,89,47,4,35,10,44,33
14925.png,89,47,7,45,10,52,33
23228.png,75,34,2,29,6,37,26
23228.png,75,34,2,39,6,47,26
30801.png,300,124,4,92,19,148,101
30801.png,300,124,5,151,16,202,98
19651.png,106,45,8,33,6,51,40
19651.png,106,45,3,54,5,74,39
23908.png,118,56,3,43,9,63,44
23908.png,118,56,7,61,9,78,44
25948.png,88,39,1,31,5,36,31
25948.png,88,39,3,39,6,48,32
25948.png,88,39,1,51,4,57,30
12539.png,75,33,5,24,3,36,27
12539.png,75,33,4,36,4,50,28
24942.png,166,70,1,48,6,75,65
24942.png,166,70,2,76,4,116,63
31750.png,430,132,9,191,28,217,86
31750.png,430,132,8,213,18,234,76
31750.png,430,132,1,230,16,259,74
25172.png,52,21,7,21,3,26,14
25172.png,52,21,5,26,4,32,15
19238.png,76,33,4,31,5,38,25
19238.png,76,33,2,36,5,47,25
26581.png,56,22,1,18,4,22,19
26581.png,56,22,8,22,3,30,18
26581.png,56,22,10,31,2,39,17
24348.png,251,104,7,84,22,96,40
24348.png,251,104,6,96,21,111,39
17639.png,112,52,6,41,8,66,43
17522.png,348,124,8,152,41,188,85
17522.png,348,124,10,184,45,217,89
17522.png,348,124,10,218,49,254,93
17612.png,80,41,1,27,3,39,35
17612.png,80,41,8,37,3,49,35
28715.png,75,35,2,32,4,46,28
23613.png,80,39,2,30,7,41,32
23613.png,80,39,9,38,9,50,34
26371.png,65,30,8,34,4,44,29
4733.png,64,26,7,20,2,33,23
4733.png,64,26,6,32,1,46,22
31674.png,57,18,4,12,1,23,15
31674.png,57,18,8,25,1,33,15
31674.png,57,18,5,35,1,44,15
10258.png,401,113,1,205,22,235,99
10258.png,401,113,4,237,21,269,98
10258.png,401,113,8,271,18,307,95
4255.png,51,24,2,18,1,25,19
4255.png,51,24,8,25,1,33,19
32700.png,75,26,1,26,5,32,20
32700.png,75,26,5,33,5,40,20
32700.png,75,26,2,40,5,47,20
29891.png,127,59,4,52,14,66,45
29891.png,127,59,1,66,10,79,41
23818.png,212,72,1,60,12,80,56
23818.png,212,72,2,91,16,125,60
23818.png,212,72,1,133,11,155,55
22126.png,70,40,6,33,7,46,38
22126.png,70,40,7,47,7,59,38
23907.png,143,63,5,46,6,76,49
23907.png,143,63,1,76,8,99,51
17680.png,118,68,2,47,11,70,58
26237.png,51,25,4,19,2,26,20
26237.png,51,25,6,25,3,32,21
16875.png,84,47,1,36,6,50,40
29193.png,222,83,2,65,6,97,71
29193.png,222,83,6,96,6,135,71
29193.png,222,83,3,134,6,164,71
8381.png,74,33,1,26,4,32,25
8381.png,74,33,3,32,6,39,27
8381.png,74,33,4,40,5,49,26
13880.png,121,56,4,46,9,63,49
13880.png,121,56,5,59,5,76,45
21595.png,145,77,9,50,17,68,67
21595.png,145,77,3,64,21,80,71
12751.png,101,48,4,37,11,50,37
12751.png,101,48,1,52,11,60,37
30298.png,178,91,1,66,19,80,77
30298.png,178,91,8,83,12,116,70
27294.png,155,68,9,54,12,77,54
27294.png,155,68,10,80,10,98,52
14579.png,120,49,1,40,9,54,40
14579.png,120,49,2,56,11,66,42
14579.png,120,49,2,67,12,80,43
23904.png,95,42,2,31,5,49,37
23904.png,95,42,2,47,3,63,35
15313.png,128,59,2,42,4,64,54
15313.png,128,59,6,65,6,91,56
24373.png,133,55,5,43,15,58,46
24373.png,133,55,2,57,14,73,45
24373.png,133,55,4,71,12,88,43
5982.png,65,29,2,16,2,31,24
16519.png,112,59,4,43,12,71,52
944.png,217,91,4,70,9,126,89
944.png,217,91,1,118,5,164,85
29585.png,62,26,2,19,1,30,24
29585.png,62,26,2,30,1,41,24
3209.png,211,97,7,77,18,105,72
3209.png,211,97,5,105,27,140,81
7883.png,84,40,7,29,3,43,32
7883.png,84,40,3,44,3,52,32
31642.png,244,84,7,102,31,116,64
31642.png,244,84,7,116,32,133,65
4807.png,65,31,1,25,5,33,29
4807.png,65,31,3,32,4,41,28
25132.png,89,52,1,41,12,54,43
33145.png,202,68,1,57,15,80,54
33145.png,202,68,2,86,16,112,55
33145.png,202,68,8,118,15,143,54
30286.png,119,61,2,40,7,65,53
30286.png,119,61,1,64,8,82,54
29216.png,227,96,4,99,26,114,65
29216.png,227,96,10,114,25,130,64
6853.png,83,39,3,27,7,42,34
6853.png,83,39,3,41,4,57,31
28836.png,74,35,7,26,5,37,28
28836.png,74,35,9,36,4,47,27
1553.png,35,17,4,13,2,18,13
1553.png,35,17,10,18,2,23,13
18643.png,66,34,2,25,6,44,31
13657.png,80,34,2,26,7,40,30
13657.png,80,34,10,41,4,52,27
8497.png,93,42,7,30,1,44,38
8497.png,93,42,8,43,1,57,38
805.png,124,57,7,49,12,67,45
805.png,124,57,1,61,16,76,49
33204.png,36,12,3,9,1,15,12
33204.png,36,12,10,15,1,21,12
33204.png,36,12,2,22,1,27,12
2091.png,98,28,1,22,3,32,29
2091.png,98,28,5,32,1,47,27
2091.png,98,28,2,47,1,60,27
2091.png,98,28,5,63,1,77,27
9104.png,332,92,4,171,26,206,82
9104.png,332,92,9,193,19,232,75
9104.png,332,92,10,218,12,254,68
4026.png,65,33,2,25,7,33,26
4026.png,65,33,1,33,7,40,26
32304.png,235,103,8,65,10,120,92
32304.png,235,103,5,121,11,167,93
10468.png,140,70,4,58,16,76,60
10468.png,140,70,7,68,7,92,51
5491.png,102,50,8,37,10,50,41
30371.png,254,100,8,94,10,125,75
30371.png,254,100,10,127,21,164,86
12962.png,151,74,1,53,7,76,64
12962.png,151,74,1,79,6,99,63
8204.png,86,46,7,31,5,53,41
23662.png,282,111,1,88,11,118,71
23662.png,282,111,2,125,22,150,82
23662.png,282,111,9,153,25,201,85
12546.png,67,28,1,22,2,28,23
12546.png,67,28,3,29,2,38,23
12546.png,67,28,3,38,3,46,24
32404.png,81,37,5,26,4,39,32
32404.png,81,37,9,38,4,49,32
29754.png,57,19,2,12,2,21,17
29754.png,57,19,4,21,3,29,18
29754.png,57,19,3,28,3,36,18
29754.png,57,19,8,35,2,45,17
15179.png,50,21,6,19,4,26,17
15179.png,50,21,8,25,4,30,17
24629.png,65,20,1,16,1,20,16
24629.png,65,20,9,24,1,28,16
24629.png,65,20,3,32,1,39,16
24629.png,65,20,9,39,1,46,16
12592.png,136,69,1,52,13,64,56
12592.png,136,69,1,62,6,71,49
12592.png,136,69,9,70,9,80,52
8606.png,66,27,2,23,7,27,22
8606.png,66,27,3,28,5,35,20
8606.png,66,27,1,34,6,38,21
8606.png,66,27,8,39,6,46,21
20018.png,134,66,1,44,8,62,52
20018.png,134,66,10,62,6,89,50
10205.png,111,43,1,37,10,47,38
10205.png,111,43,5,43,11,57,39
10205.png,111,43,7,53,10,68,38
25041.png,92,45,5,31,5,45,38
25041.png,92,45,8,45,5,58,38
11434.png,112,50,5,33,7,56,47
11434.png,112,50,4,55,6,79,46
5766.png,228,69,4,53,17,84,62
5766.png,228,69,10,83,12,117,57
5766.png,228,69,4,117,14,149,59
5766.png,228,69,6,148,19,178,64
1157.png,279,119,1,98,20,116,66
1157.png,279,119,3,115,17,143,63
1157.png,279,119,5,143,20,168,66
1157.png,279,119,1,167,18,192,64
10478.png,98,39,6,39,7,51,34
10478.png,98,39,1,53,10,62,37
17091.png,114,48,5,43,15,53,36
17091.png,114,48,5,54,14,67,35
17091.png,114,48,1,66,12,74,33
13706.png,164,76,3,56,13,82,62
13706.png,164,76,7,79,14,102,63
3057.png,86,40,2,37,8,48,30
18787.png,49,21,2,16,1,25,21
18787.png,49,21,10,26,1,35,21
468.png,72,38,8,28,4,47,31
12989.png,52,21,1,14,1,19,18
12989.png,52,21,5,19,2,29,19
12989.png,52,21,4,28,2,36,19
10298.png,355,139,2,88,72,130,116
6078.png,87,47,7,34,4,52,38
24344.png,138,51,4,41,5,71,43
24344.png,138,51,9,69,10,101,48
7556.png,38,20,1,13,1,19,16
7556.png,38,20,7,18,2,24,17
21208.png,256,83,2,128,15,155,64
21208.png,256,83,7,153,16,172,65
21208.png,256,83,2,169,14,201,63
19854.png,189,69,1,52,12,78,59
19854.png,189,69,3,77,10,107,57
19854.png,189,69,2,106,10,137,57
3938.png,43,17,1,14,2,20,14
3938.png,43,17,8,20,1,29,13
13576.png,131,54,4,41,13,65,49
13576.png,131,54,1,63,15,78,51
15281.png,85,46,7,34,3,44,38
15281.png,85,46,1,44,6,52,41
2861.png,166,69,2,51,8,85,57
2861.png,166,69,10,83,11,115,60
25964.png,268,116,9,96,27,134,83
25964.png,268,116,10,132,28,169,84
849.png,187,75,6,52,7,93,61
849.png,187,75,10,94,6,132,60
7102.png,94,52,8,37,4,58,45
7102.png,94,52,9,60,4,80,45
19016.png,94,36,1,35,9,45,29
19016.png,94,36,1,43,8,49,28
